Series Name,Series Code,Country Name,Country Code,1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,Japan,JPN,9.62419006319053,9.85861196803866,10.1756722952941,10.4854890022939,10.6589267139155,10.625451668605,10.4414733466863,10.0694228887885,9.57708957487098,9.07164664311702,8.62003323608069,8.19138200751553,7.81694066875352,7.49980540006643,7.24022681511167,7.04184496533057,6.94155399057332,6.90380455951515,6.91663098139827,6.95908249366116,7.01529439961928,7.05130270001436,7.08219156260984,7.12087017160804,7.19371907021282,7.31846048706595,7.53349035060586,7.81028896633639,8.08941676912547,8.2797431681352,8.3256148676294,8.22881840685543,7.96629596860388,7.5916132034015,7.20740629515138,6.8893293194882,6.66489467219336,6.51408088218187,6.41250792577903,6.31420197605638,6.19131385688288,6.06181274385316,5.92135228542349,5.77555041896095,5.63421836271406,5.50327160407726,5.38656822341036,5.27546572949585,5.17527551474506,5.09343056608496,5.03419069860448,4.99852944517291,4.98725486964426,4.99038155896521,..
"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,Japan,JPN,8.3686939641493,8.35964958607459,8.37606502192417,8.42541403409851,8.51917940105129,8.65736010314584,8.84782600032677,9.08753619997598,9.31385216798545,9.43713911038145,9.40642773861933,9.20950322443287,8.88361420081315,8.47192799999986,8.04506685839393,7.6529459396378,7.31761759259487,6.99997457131195,6.72004240726007,6.49699830668697,6.33895144812043,6.24083473410369,6.21175211791225,6.23040372168421,6.26616702814677,6.30246576267451,6.35944729253846,6.41551465466936,6.48305133823133,6.58682921981489,6.73810773240495,6.93631204311996,7.18282466044145,7.42581322914661,7.58267163571725,7.60087936448788,7.48633312354295,7.2353612355308,6.90171106619039,6.57421934742088,6.30955168470597,6.10908090507657,5.96432705871427,5.85754290853254,5.75398360906953,5.63221662232228,5.5162333425806,5.39470738654377,5.27031182740817,5.1488323662107,5.0345941261752,4.93596040281737,4.8421241238703,4.75703848770089,..
"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,Japan,JPN,8.76345969272947,8.74843150567401,8.75367189359881,8.791193916088,8.88080949892597,9.02775926220206,9.24715856927985,9.52877417643248,9.80128293284687,9.96342955894623,9.95799825854747,9.7708638732511,9.44656681457848,9.02906108997533,8.59083632131786,8.18375243458858,7.834961421888,7.49773549213537,7.19657753827901,6.95657642957958,6.78883545603887,6.68812083316934,6.66281624571899,6.68801018770536,6.7272295282909,6.76022188468732,6.81438954172488,6.86304363221981,6.92345903497621,7.02864430191262,7.19459144337707,7.42252302778177,7.71293415610537,8.00548006970426,8.20225181970691,8.2396762727576,8.12310851580155,7.84955071226864,7.48148162418989,7.12254036680152,6.8389185400928,6.62930402490194,6.48626096376816,6.38797607708548,6.29231198309113,6.17339373576659,6.05332099737072,5.92360146166767,5.78860744031914,5.65694610556462,5.53486274349584,5.42709869032986,5.32520204522578,5.23353064905065,..
"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y,Japan,JPN,8.18250819325834,8.13637137752217,8.06913522011902,7.99346622340811,7.93005723686925,7.89321022728287,7.88497044960363,7.88627336090376,7.9129564768509,7.99110634298704,8.13099768283586,8.30493320718364,8.55539159751787,8.81081643713143,8.96276121061078,8.95005794969832,8.82225993652827,8.53147345046822,8.1384049469933,7.73639375584182,7.38159426840687,7.05293674550294,6.7662557662689,6.52865808395876,6.340313491329,6.19975778475972,6.11150088886104,6.08256233783371,6.09920836746299,6.13971691226105,6.18954962223269,6.25131516314271,6.31114381176481,6.38304353833666,6.4923561987041,6.65030642101378,6.84926939490126,7.10008854382806,7.34715938253092,7.50534466643107,7.52433251265435,7.42824928896998,7.19095697274455,6.86798771956673,6.55007713611098,6.29386013001189,6.10627974827448,5.97554572102678,5.8817245767567,5.7894842214735,5.6782692024498,5.57039490716371,5.45894697019307,5.34399031724562,..
"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,Japan,JPN,8.48721609153382,8.45091641259616,8.39693927789951,8.33485559407267,8.27917948134735,8.24102232608174,8.22554910010617,8.21309831005285,8.22642365077159,8.3021795489297,8.45601031742766,8.65187902893906,8.94120370440608,9.24348373404138,9.43622710303556,9.44991472009184,9.34128155687241,9.05627513327663,8.65894234247522,8.24834463099009,7.88382039380082,7.54241774903281,7.24143201856465,6.99031574613809,6.79162366093562,6.64475717598676,6.55349090592366,6.52708719633991,6.54925057666899,6.59410135750436,6.64473427673322,6.70568851158292,6.7601029697432,6.82719882387299,6.94095507862365,7.11761191757127,7.34667919643182,7.64268495753173,7.94000375345534,8.13745567976197,8.17511663165546,8.07718547800442,7.8165491160999,7.45801747846187,7.10796085746446,6.83294083457574,6.63445770085823,6.50422265688728,6.41823903698042,6.33357409708564,6.22505696450943,6.11288285812416,5.993627169899,5.86858823446848,..
"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,Japan,JPN,7.50687575046429,7.58090450213732,7.64761560832311,7.6973592385966,7.7169062168657,7.70085201170992,7.65686713437843,7.57982305312127,7.49228484563105,7.42720043568898,7.40370839356665,7.39181987424684,7.41384302856677,7.47425126735256,7.5791470269506,7.72812791369335,7.94727642923665,8.20751691833362,8.45455063789221,8.60852507817679,8.62129968042,8.4904745037883,8.22886293858441,7.88028788038078,7.51672746657571,7.1886558121499,6.89401353496071,6.62949994760866,6.40294410688454,6.22009865443945,6.08416891074701,6.00403535065274,5.98133509508346,6.00338676356949,6.04900791134584,6.10449100484385,6.16637310162108,6.22950402423171,6.30624950662613,6.41946176992216,6.5786494482647,6.79563885917837,7.05879204427213,7.31483596361573,7.48200095216303,7.51113787205427,7.41905076238796,7.19434124208731,6.89066530119949,6.59465455636166,6.35973435803482,6.17439386658883,6.04812667132052,5.96438012850819,..
"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,Japan,JPN,7.56549692764749,7.74425255860717,7.86339106801416,7.9293809892181,7.95526226263224,7.95129704210028,7.91613892477044,7.8493690325416,7.7730104849782,7.71653300120478,7.69683160286649,7.67811001224335,7.68986072612685,7.74143794815997,7.8465464810326,8.00915578091699,8.25627077079213,8.5566962956645,8.84942900430431,9.0445725147029,9.08760571132083,8.9754771875268,8.72346190764258,8.37675356357673,8.01027689804077,7.67712047712157,7.37402738353635,7.09822901215045,6.85945721793783,6.66654720468882,6.52468366698904,6.44359933744679,6.42537806633443,6.45498896340619,6.50726527966563,6.56638100456798,6.62651705558771,6.6840454234878,6.7564855015981,6.87493667628254,7.05355278075965,7.30103452986686,7.60910086233594,7.91477332557678,8.1208816982982,8.16915325732404,8.07298847192454,7.82369552394818,7.4844636136669,7.15717164397111,6.90463662603482,6.70777267128856,6.58206477839205,6.50666868491464,..
"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,Japan,JPN,6.45165898550573,6.58579035097765,6.71793192451038,6.84075686418249,6.94709419367531,7.03317536934531,7.10458012840681,7.15586695995783,7.18593115231022,7.19595937877407,7.18899996137504,7.14802616401721,7.10121837738369,7.05779105169746,7.02903640200216,7.02344778048808,7.06052097064088,7.09936441489579,7.15883738238806,7.26644016382216,7.43128187630126,7.63668450965175,7.90600174587253,8.1771965686238,8.35478232923545,8.38354305214608,8.28063707680015,8.0393286008795,7.70561601813616,7.3570920066403,7.04458268364091,6.76279404770936,6.5090817603104,6.29277615395158,6.11972681029188,5.99315903291601,5.91481380709009,5.89565208340807,5.92296304192719,5.97358924179452,6.03187208343013,6.11690653197614,6.19839485259768,6.28877645487055,6.41346700982959,6.58386966892774,6.7954099068097,7.05729835020487,7.31547121515054,7.48830705949266,7.52849183740093,7.45211134273596,7.24271409780012,6.95029195076786,..
"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,Japan,JPN,5.52659074460448,5.80010568952423,6.13423658175019,6.4861247540348,6.7961595664267,7.03008208373901,7.19873327842779,7.29676244720124,7.33881294094675,7.35261377009653,7.35745221121556,7.32734908066509,7.29711709034703,7.27285983730239,7.25899941110101,7.26036371595004,7.29850307842507,7.33087612649972,7.3829226006042,7.49246788982099,7.67428144632067,7.90790094731968,8.22022371746299,8.54185710195464,8.76529401530284,8.82785441778739,8.74499298062378,8.51422198731816,8.18348662979281,7.83413924779272,7.51930648216852,7.23188762212009,6.96946909709774,6.74342387714339,6.56292461766097,6.43342680250174,6.35288731308319,6.33772285027803,6.37268219475841,6.43028962422752,6.49263250882325,6.57694596655373,6.65304764324431,6.73873422811805,6.86832990906125,7.05847579660622,7.29854641106211,7.6041637781714,7.91169420802995,8.12397418500842,8.1844537959243,8.10377442192007,7.87038592828557,7.54317336958282,..
"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,Japan,JPN,5.4032688520771,5.47739436955421,5.59539620736712,5.7405901481608,5.88794142826289,6.02188471959793,6.14690133004354,6.25922702383806,6.35973537703917,6.45334068965086,6.5424963927638,6.61406024778187,6.68747448499067,6.75120416240009,6.78954801135607,6.79753473264542,6.8026375558415,6.77574638153071,6.73783453943492,6.71859736602052,6.7340938709465,6.76572404198844,6.82064773015647,6.90756349578082,7.03780786039627,7.21401371480415,7.43200044594915,7.70518285584255,7.97568013918522,8.15644985274337,8.19506630536167,8.10664579533164,7.87916210522111,7.55913264035975,7.22346656400268,6.92311551523372,6.65463247856518,6.41429027598598,6.20713106871321,6.03751331145762,5.9105099838053,5.8446733184648,5.84175388517541,5.88948850459121,5.96367149397615,6.04593207268581,6.12811560767165,6.20585846365279,6.29354629547815,6.41749642097686,6.5895047019794,6.81003734521552,7.08331791768139,7.35568906229788,..
"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,Japan,JPN,4.5649345366524,4.58250649751993,4.64293136277502,4.74930641560251,4.90635879406543,5.11299736571721,5.36407906818182,5.65953096369903,5.9670973701248,6.24457954817036,6.46779342888522,6.62541020717964,6.74251923478667,6.8210488727529,6.86733834001756,6.89004578320275,6.91103468745958,6.90385198199016,6.8872663343877,6.8861023633388,6.91360317809299,6.9489637647175,7.00264958182804,7.08849207021225,7.22634128824894,7.42392312201083,7.67038967338946,7.9859211127973,8.30555354972697,8.53139970800893,8.60440261680388,8.537495861771,8.32326791609412,8.01021265639002,7.67847407793979,7.38083607182178,7.10660813459357,6.85797482137588,6.64153334461992,6.46486946531617,6.33554563680141,6.26885574441675,6.27093724189663,6.32710147052571,6.40924751074606,6.49704477215082,6.57617295114639,6.64689686932692,6.72935978613326,6.85865375395562,7.05149108735992,7.29987805881892,7.61698134101484,7.93918478448775,..
"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,Japan,JPN,4.99492744463136,5.00807319219538,4.99405230554901,4.97196413335923,4.97152176497891,5.00988741638302,5.08079431361648,5.1827046658689,5.30601374882233,5.43762155754293,5.56941778231894,5.69217082073087,5.82512392709687,5.96046049885609,6.08547658027499,6.19175557436335,6.29143844961156,6.36712387667945,6.4220053353111,6.46127328940859,6.48756072558648,6.48948355623853,6.48166921229652,6.47424687987996,6.48094552264243,6.51192777116641,6.56037843702048,6.62234566787764,6.70838348851288,6.83634201039047,7.01251611956835,7.24034115978867,7.5223739020667,7.80193480855308,7.99250004500504,8.0421687062582,7.95878286474168,7.74572977014388,7.44700729732814,7.13314793374121,6.84931199135019,6.58616787552531,6.34504043366932,6.13676515547977,5.97220857972396,5.85904454905171,5.80601459898836,5.81640758984191,5.87430329433593,5.95324123928261,6.03630243394513,6.12701584792352,6.21510175579893,6.31463991365871,..
"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,Japan,JPN,4.47442006123804,4.41026907394627,4.32890580415409,4.24745133797874,4.19196677611229,4.17880308276457,4.19767316062587,4.24635374069796,4.33342529367672,4.47257905072956,4.66867458750179,4.90213819016591,5.1978653194645,5.51996936185084,5.81290808969242,6.04235464183427,6.21985239978557,6.33381350847492,6.40090091060013,6.44854925889633,6.49243875516711,6.51112346318914,6.52731022332886,6.54810383887347,6.58052111826674,6.63065778865411,6.68492965782269,6.74664884281348,6.83171862785816,6.9673883464658,7.1655560442939,7.42156320583228,7.74555311124399,8.07429543315628,8.31113266209304,8.39812525984209,8.3340107386502,8.13487855650663,7.84635047321576,7.54075692653278,7.26381877080703,6.99779430730545,6.75022980711302,6.53406941078438,6.36453242569416,6.2523907741371,6.1983103597355,6.21376632382415,6.2804196816926,6.36794846836161,6.45761463920132,6.54440154378298,6.62555712730788,6.72045670951452,..
"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,Japan,JPN,4.15061597944776,4.23518495551783,4.33909453001683,4.44504006711871,4.52848911191971,4.57714861980523,4.59219081438766,4.57477093663196,4.54793121022602,4.54698448030499,4.59175476270492,4.6647667546268,4.78312603255382,4.93156961746272,5.08601151637849,5.2322064033524,5.38022421300588,5.51640876913261,5.64205565474054,5.76105578163441,5.87371831686083,5.96605398833832,6.05511968067942,6.13547543780938,6.19806947670332,6.23966089042898,6.25856597022033,6.26049006092868,6.25731326032184,6.26757891605122,6.30270428231441,6.36028632310996,6.43054354486016,6.52532857629607,6.6627963875295,6.84936621177118,7.0777247830312,7.36307195672404,7.64747244918293,7.84368655324541,7.90063448295169,7.83103630501708,7.62964023065655,7.34008127414349,7.03344220948126,6.75581532756369,6.50338841123518,6.27405159655053,6.07816140990463,5.92591254255488,5.82413985589929,5.78134561561422,5.80267473840169,5.87185711016115,..
"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,Japan,JPN,3.94150729246174,3.9548905772885,3.98466750997295,4.0155820398225,4.02626694993769,4.00695125680677,3.95476022698096,3.87951293750596,3.80258148174078,3.75506834435323,3.75496264315935,3.77976380035983,3.8455866146412,3.95467444597928,4.10999912766618,4.31111534050629,4.55400923737364,4.83533612559124,5.12848109681129,5.39747522152127,5.62031162985134,5.78135819287477,5.90537680299453,5.99925145229676,6.07341814128903,6.13629425139408,6.17213152401544,6.19965456403191,6.22728520281673,6.26659075889301,6.32458270156242,6.39041749718819,6.46199706628124,6.55691642896902,6.70332784748836,6.91373826874218,7.16697643337742,7.49054474133486,7.82050904617923,8.0603916702391,8.154029128392,8.10431272899001,7.9199553633408,7.64610108230088,7.35465375594234,7.09127923368753,6.8390240589147,6.6065066468029,6.40632240373129,6.25324270330491,6.15716408009403,6.11441445243148,6.14182355962622,6.22048481346734,..
"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,Japan,JPN,3.40956231808237,3.46384549000014,3.52115902121583,3.58316509394489,3.65345309528914,3.73321643981931,3.81313684781006,3.90478219417668,3.99670034895262,4.0738281430107,4.12907370642684,4.15078677718477,4.15887256371649,4.16752688513287,4.19782796642164,4.26226707279819,4.35762805477728,4.47735294622724,4.61540207324419,4.76292884399703,4.91292277087906,5.05144149484593,5.19615058885719,5.34143996316014,5.47878630755939,5.60304815513697,5.70709834325882,5.80175449983754,5.88330032075962,5.94796922111495,5.99447477783749,6.02235962683567,6.03453430088181,6.04315732459447,6.06591683790969,6.11393328241982,6.17496536182627,6.25197809005779,6.35502484443484,6.49958260991712,6.69037226150785,6.92293999720799,7.20761063818642,7.48957215682557,7.68612792715613,7.74764024520983,7.68613570043918,7.4993387272551,7.22781379569447,6.93904893388631,6.6779606540078,6.43995195383175,6.22514614229705,6.04343882719475,..
"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,Japan,JPN,3.29395605988419,3.31132640760736,3.3294728618765,3.34959313200479,3.37390501270112,3.40305207280664,3.42364747794813,3.45212225768398,3.47972831483402,3.49476435896205,3.49230103254123,3.45715819436524,3.41548603420785,3.3797266916695,3.36750491192574,3.39016454152454,3.43655815006312,3.50342341153424,3.600631245707,3.74342444478435,3.93741626455698,4.15852907762057,4.43016842206425,4.72311677304787,4.99364888747608,5.2161963643888,5.37546981258804,5.49635005612233,5.58701179411055,5.66185639369288,5.73008463391912,5.77767390585354,5.81931037977493,5.86328759017022,5.91983370425971,5.99542620427011,6.06664475148806,6.14543527400314,6.24768165540022,6.39931032516443,6.61163911233967,6.86533733757946,7.18309605075076,7.50497956951946,7.74123749435079,7.83919759914149,7.79582717222173,7.6297367665718,7.38259186518063,7.12006565088226,6.88421982947785,6.65317838341118,6.44105503048952,6.26027621195801,..
